FID,AREA,GRID_CODE,SQFT,ACRES,SQMI,SHAPE_Length,SHAPE_Area
1,322752,6,322752,7.4093671,0.01157714,1713.68315228502,52177.0780651127
2,161376,3,161376,3.7046831,0.005788567,922.973324412791,26092.2565722574
3,645504,5,645504,14.81873,0.02315427,2109.95946845225,104366.442369834
4,6724,14,6724,0.1543618,0.0002411903,131.883383967595,1087.07260726844
5,1909616,5,1909616,43.838749,0.068498053,6660.52845610462,308710.535379146
6,4982484,3,4982484,114.3821,0.17872199,9101.83588843971,805480.271407508
7,53792,3,53792,1.234894,0.001929522,461.46569027451,8696.62663687597
8,26896,6,26896,0.6174472,0.00096476119,329.804298249928,4347.45456683632
9,100860,1,100860,2.3154271,0.003617855,527.481784430181,16302.892349176
10,87412,5,87412,2.0067029,0.003135473,527.304502403042,14133.3215790891
11,6724,6,6724,0.1543618,0.0002411903,131.871169067275,1086.87124494321
12,6724,6,6724,0.1543618,0.0002411903,131.890228854482,1087.18544998749
13,7732600,5,7732600,177.5161,0.2773689,14771.8760150637,1249924.54175278
14,6724,6,6724,0.1543618,0.0002411903,131.872041311686,1086.88562360136
15,20172,5,20172,0.46308541,0.00072357088,263.758123019351,3261.00485196838
16,7.8290202e+08,3,7.8290202e+08,17973,28.0828,675788.916617939,126273379.75295
17,20172,6,20172,0.46308541,0.00072357088,263.745732504684,3260.70010967464
18,40344,6,40344,0.92617083,0.001447142,395.597525570324,6520.6941019666
19,73964,5,73964,1.69798,0.002653094,593.072341891486,11956.9667091075
20,127756,5,127756,2.932874,0.004582616,989.234151744982,20653.6450071566
21,80688,5,80688,1.852342,0.002894284,659.444139257545,13045.9772093187
22,134480,6,134480,3.0872359,0.0048238062,791.701772646618,21735.5198809679
23,6724,3,6724,0.1543618,0.0002411903,131.873522528366,1086.91003684982
24,47068,5,47068,1.080533,0.001688333,395.646423113775,7609.36050341037
25,26896,6,26896,0.6174472,0.00096476119,263.738639246092,4347.36465361235
26,53792,5,53792,1.234894,0.001929522,461.43684036156,8695.55208502259
27,80688,3,80688,1.852342,0.002894284,724.501247280561,13046.098984377
28,33620,5,33620,0.77180898,0.001205952,329.834057488202,5435.31253212453
29,60516,5,60516,1.389256,0.002170712,395.610973659839,9781.72260184723
30,1633932,5,1633932,37.509918,0.058609251,4285.44465018191,264144.450312025
31,47068,14,47068,1.080533,0.001688333,395.365142957639,7608.35195023294
32,6724,5,6724,0.1543618,0.0002411903,131.876665088377,1086.9618443554
33,47068,5,47068,1.080533,0.001688333,395.650396316077,7609.51423933225
34,255512,5,255512,5.8657479,0.0091652311,1186.23567391492,41312.2690535361
35,6724,6,6724,0.1543618,0.0002411903,131.875186131663,1086.93746960338
36,437060,11,437060,10.03352,0.015677379,1318.48101305066,70649.3162655239
37,20172,5,20172,0.46308541,0.00072357088,263.769790937213,3261.2958712255
38,874120,5,874120,20.06703,0.031354729,2240.50842095887,141322.060502682
39,26896,5,26896,0.6174472,0.00096476119,263.755606080501,4347.9224239642
40,13448,6,13448,0.3087236,0.00048238059,197.691145053469,2174.00243034821
41,47068,3,47068,1.080533,0.001688333,527.50235157889,7608.60995371749
42,363096,6,363096,8.335537,0.01302428,1648.82649729491,58695.0322323747
43,121032,5,121032,2.778512,0.0043414249,593.374039554099,19569.0474635769
44,33620,6,33620,0.77180898,0.001205952,329.820936988679,5434.87044606981
45,13448,6,13448,0.3087236,0.00048238059,197.94481686499,2173.97892469085
46,6724,14,6724,0.1543618,0.0002411903,131.879875074935,1087.01476162728
47,20172,5,20172,0.46308541,0.00072357088,263.756042045802,3260.95263392115
48,255512,4,255512,5.8657479,0.0091652311,1252.45200085917,41304.8936680768
49,1210320,6,1210320,27.78512,0.04341425,4679.59910561262,195687.261120567
50,73964,5,73964,1.69798,0.002653094,527.518410484604,11957.1233596205
51,33620,5,33620,0.77180898,0.001205952,329.786626666013,5433.74103434931
52,6724,5,6724,0.1543618,0.0002411903,131.878913708695,1086.99891136955
53,20172,6,20172,0.46308541,0.00072357088,263.729843487853,3260.30551902941
54,114308,5,114308,2.624151,0.0041002361,791.271842356319,18478.9223218629
55,13448,3,13448,0.3087236,0.00048238059,197.949877204882,2174.08768511005
56,53792,14,53792,1.234894,0.001929522,395.853014408517,8694.2981194219
57,87412,3,87412,2.0067029,0.003135473,593.336007149211,14131.3956226705
58,6724,6,6724,0.1543618,0.0002411903,131.867074354225,1086.80375065109
59,6724,6,6724,0.1543618,0.0002411903,131.883645297978,1087.07691594223
60,450508,5,450508,10.34224,0.016159751,1451.02103395057,72813.1308570341
61,100860,5,100860,2.3154271,0.003617855,659.193606975511,16307.6560377802
62,6724,6,6724,0.1543618,0.0002411903,131.881497638576,1087.04150833735
63,33620,6,33620,0.77180898,0.001205952,329.80348756673,5434.29033458083
64,26896,6,26896,0.6174472,0.00096476119,329.546445236385,4347.37973057556
65,6724,2,6724,0.1543618,0.0002411903,131.881648430402,1087.04399123818
66,33620,3,33620,0.77180898,0.001205952,329.848355439491,5435.77809878233
67,6724,6,6724,0.1543618,0.0002411903,131.870664226903,1086.8629256026
68,6724,6,6724,0.1543618,0.0002411903,131.882811656744,1087.06317091399
69,6724,6,6724,0.1543618,0.0002411903,131.871130870225,1086.87061536153
70,6724,14,6724,0.1543618,0.0002411903,131.870649458243,1086.86267577744
71,20172,6,20172,0.46308541,0.00072357088,263.771081277598,3261.3302692141
72,396716,14,396716,9.1073465,0.01423023,1780.09086660532,64140.6016590694
73,87412,14,87412,2.0067029,0.003135473,592.790939942478,14129.7041643091
74,3066144,5,3066144,70.388977,0.1099828,7120.40292262013,495701.723213944
75,6724,14,6724,0.1543618,0.0002411903,131.871392265469,1086.87492419378
76,699296,6,699296,16.053631,0.025083801,2704.73234496625,113032.433556343
77,161376,14,161376,3.7046831,0.005788567,857.313878348136,26086.3966967095
78,40344,6,40344,0.92617083,0.001447142,461.429635614777,6521.45429401131
79,87412,3,87412,2.0067029,0.003135473,659.376572487133,14130.1792975758
80,6724,3,6724,0.1543618,0.0002411903,131.871443285821,1086.87576573728
81,20172,5,20172,0.46308541,0.00072357088,263.748118232515,3260.75429017271
82,20172,6,20172,0.46308541,0.00072357088,263.779192138185,3261.52260119091
83,26896,5,26896,0.6174472,0.00096476119,329.817508916032,4347.80803666597
84,201720,3,201720,4.6308541,0.00723571,1055.47021828778,32605.6399437406
85,87412,5,87412,2.0067029,0.003135473,659.366203747021,14129.7654517452
86,20172,6,20172,0.46308541,0.00072357088,263.753541148053,3260.89150415798
87,6724,6,6724,0.1543618,0.0002411903,131.874697918513,1086.92941875159
88,147928,5,147928,3.3959601,0.005306188,923.22055330042,23917.5171624914
89,127756,6,127756,2.932874,0.004582616,857.54099694981,20650.3570197494
90,26896,3,26896,0.6174472,0.00096476119,263.757561562573,4347.98688156111
91,13448,6,13448,0.3087236,0.00048238059,197.684978593757,2173.86657142528
92,26896,14,26896,0.6174472,0.00096476119,329.566566874505,4347.90890399623
93,4128540,5,4128540,94.778099,0.148091,8836.00363065494,667354.891208226
94,6724,6,6724,0.1543618,0.0002411903,131.878166718986,1086.98659783029
95,60516,14,60516,1.389256,0.002170712,461.740393191152,9784.56136275942
96,13448,5,13448,0.3087236,0.00048238059,197.681568952563,2173.79155411138
97,87412,5,87412,2.0067029,0.003135473,527.772468304304,14131.0958277011
98,121032,4,121032,2.778512,0.0043414249,725.451259323185,19565.4184578729
99,13448,6,13448,0.3087236,0.00048238059,197.948753526469,2174.06274733944
100,13448,5,13448,0.3087236,0.00048238059,197.666912107408,2173.46934811307
101,13448,6,13448,0.3087236,0.00048238059,197.694374105693,2174.07438891315
102,47068,5,47068,1.080533,0.001688333,395.844111151063,7607.17290748665
103,26896,14,26896,0.6174472,0.00096476119,263.746505274824,4347.6223666373
104,13448,6,13448,0.3087236,0.00048238059,197.951515027985,2174.12228923407
105,7046752,6,7046752,161.77119,0.2527675,23209.0874036008,1139210.5684373
106,13448,14,13448,0.3087236,0.00048238059,197.670341839315,2173.54322279801
107,282408,2,282408,6.4831958,0.01012999,1320.07359423997,45654.5607433497
108,33620,5,33620,0.77180898,0.001205952,329.542577042161,5434.09680592285
109,403440,3,403440,9.2617083,0.01447142,1318.71597611026,65212.4237648103
110,13448,6,13448,0.3087236,0.00048238059,197.698484819806,2174.16049407351
111,13448,5,13448,0.3087236,0.00048238059,197.92960184017,2173.64128177125
112,6724,6,6724,0.1543618,0.0002411903,131.868483681468,1086.82697853763
113,87412,3,87412,2.0067029,0.003135473,593.350303968257,14132.0629806537
114,6724,6,6724,0.1543618,0.0002411903,131.874774962237,1086.93068487953
115,215168,5,215168,4.9395781,0.00771809,923.224271269179,34789.3856768969
116,786708,3,786708,18.060329,0.02821927,3229.60937612187,127157.715950261
117,13448,11,13448,0.3087236,0.00048238059,197.686525173982,2173.89929780449
118,6724,6,6724,0.1543618,0.0002411903,131.873977846624,1086.91754645664
119,6724,3,6724,0.1543618,0.0002411903,131.875837181017,1086.94819850636
120,6724,6,6724,0.1543618,0.0002411903,131.870437446778,1086.85918448781
121,6724,6,6724,0.1543618,0.0002411903,131.878966182134,1086.99977855984
122,13448,6,13448,0.3087236,0.00048238059,197.941531577265,2173.90435863308
123,53792,6,53792,1.234894,0.001929522,461.673443538392,8694.84836223141
124,80688,6,80688,1.852342,0.002894284,659.89857834793,13043.7711088326
125,6724,6,6724,0.1543618,0.0002411903,131.890097077093,1087.18327812867
126,6724,6,6724,0.1543618,0.0002411903,131.876677544588,1086.96204521649
127,33620,6,33620,0.77180898,0.001205952,329.805843871837,5434.37203755794
128,33620,6,33620,0.77180898,0.001205952,329.819808530526,5434.82848273647
129,94136,5,94136,2.1610651,0.0033766639,659.863451497692,15216.086269178
130,295856,5,295856,6.7919192,0.01061237,1450.0168839426,47835.3700003175
131,67240,6,67240,1.543618,0.0024119031,659.641285669003,10869.7407588663
132,47068,6,47068,1.080533,0.001688333,461.679130515679,7608.20567781535
133,383268,3,383268,8.7986221,0.01374785,1978.14733371527,61956.8537136968
134,228616,11,228616,5.248301,0.0082004704,1054.59040562665,36962.7463335929
135,6724,6,6724,0.1543618,0.0002411903,131.874810368118,1086.93126968024
136,20172,6,20172,0.46308541,0.00072357088,263.744901706554,3260.67540183059
137,20172,6,20172,0.46308541,0.00072357088,263.757250004879,3260.98335181919
138,47068,6,47068,1.080533,0.001688333,461.449595492159,7609.01674977963
139,168100,6,168100,3.859045,0.0060297581,989.215930154615,27174.7651786543
140,221892,3,221892,5.0939388,0.0079592792,1252.4045681117,35867.2869082802
141,80688,14,80688,1.852342,0.002894284,593.373321686014,13045.9978708447
142,632056,6,632056,14.51001,0.02267189,3362.82961259903,102165.245963713
143,13448,6,13448,0.3087236,0.00048238059,197.694722207022,2174.08208518648
144,6724,6,6724,0.1543618,0.0002411903,131.874307344279,1086.92298040268
145,107584,6,107584,2.469789,0.003859045,1055.05145178757,17392.6557498924
146,47068,14,47068,1.080533,0.001688333,395.389053003692,7609.26908176941
147,26896,11,26896,0.6174472,0.00096476119,329.558295599419,4347.69498537545
148,13448,3,13448,0.3087236,0.00048238059,197.707390487002,2174.36019293211
149,6724,14,6724,0.1543618,0.0002411903,131.882505104807,1087.05812185926
150,33620,6,33620,0.77180898,0.001205952,329.575688174291,5435.18348481687
151,968256,6,968256,22.2281,0.03473141,3364.03575834114,156503.094526996
152,80688,5,80688,1.852342,0.002894284,592.986743096976,13040.2093534887
153,10899600,5,10899600,250.2204,0.3909694,21886.4521664634,1761554.52103602
154,94136,6,94136,2.1610651,0.0033766639,790.963796146646,15215.878378592
155,13448,5,13448,0.3087236,0.00048238059,197.96014789297,2174.31639500311
156,13448,4,13448,0.3087236,0.00048238059,197.942998638891,2173.93569874297
157,67240,14,67240,1.543618,0.0024119031,527.781478257781,10870.4432769018
158,26896,5,26896,0.6174472,0.00096476119,263.777407535477,4348.63952860521
159,47068,6,47068,1.080533,0.001688333,395.584660551918,7606.99028214693
160,80688,14,80688,1.852342,0.002894284,593.318926290885,13043.6052645901
161,6724,6,6724,0.1543618,0.0002411903,131.883330662031,1087.07173004232
162,13448,6,13448,0.3087236,0.00048238059,197.933670632453,2173.73158202361
163,806880,3,806880,18.52342,0.02894284,3032.70948680021,130396.908501169
164,6724,6,6724,0.1543618,0.0002411903,131.883412952047,1087.07308416878
165,6724,4,6724,0.1543618,0.0002411903,131.878004341682,1086.98392155275
166,1775140,3,1775140,40.751499,0.063674197,6133.30955734157,286970.406668255
167,6724,5,6724,0.1543618,0.0002411903,131.872173169563,1086.88779431972
168,551368,5,551368,12.65767,0.019777611,1582.3270975403,89137.9504496148
169,6724,6,6724,0.1543618,0.0002411903,131.86128797148,1086.7083719505
170,26896,6,26896,0.6174472,0.00096476119,329.529522770907,4346.93252475854
171,13448,5,13448,0.3087236,0.00048238059,197.953112197465,2174.1600195926
172,53792,6,53792,1.234894,0.001929522,527.445554193521,8693.67846177879
173,13448,3,13448,0.3087236,0.00048238059,197.936945986978,2173.80062911717
174,6724,5,6724,0.1543618,0.0002411903,131.864115053639,1086.75497113839
175,33620,5,33620,0.77180898,0.001205952,329.812253245401,5434.59105526905
176,26896,5,26896,0.6174472,0.00096476119,329.570996816206,4348.03088457357
177,26896,11,26896,0.6174472,0.00096476119,263.778552922749,4348.6822869536
178,6724,5,6724,0.1543618,0.0002411903,131.862112319214,1086.72195331741
179,154652,5,154652,3.5503211,0.0055473759,922.806770457663,24996.0934511459
180,6724,3,6724,0.1543618,0.0002411903,131.875249810238,1086.93851305272
181,262236,6,262236,6.0201101,0.0094064223,1252.90980284774,42388.2622878413
182,6724,3,6724,0.1543618,0.0002411903,131.87552396008,1086.9430322895
183,40344,6,40344,0.92617083,0.001447142,395.602251149669,6520.85310398639
184,894292,5,894292,20.530121,0.032078311,3231.46014116812,144552.623790752
185,490852,3,490852,11.26841,0.01760689,1384.69526704434,79361.6994789212
186,47068,5,47068,1.080533,0.001688333,395.840969575758,7607.031216639
187,121032,5,121032,2.778512,0.0043414249,659.148675056208,19566.5246737368
188,26896,5,26896,0.6174472,0.00096476119,329.812359914876,4347.67092542912
189,20172,6,20172,0.46308541,0.00072357088,263.735606841761,3260.45136308617
190,60516,5,60516,1.389256,0.002170712,593.565238619863,9782.42001101977
191,121032,14,121032,2.778512,0.0043414249,725.120431546897,19561.3257754465
192,6724,2,6724,0.1543618,0.0002411903,131.869439778722,1086.84274205052
193,13448,6,13448,0.3087236,0.00048238059,197.939797955256,2173.86430089588
194,121032,6,121032,2.778512,0.0043414249,659.15129997398,19566.6811122072
195,67240,5,67240,1.543618,0.0024119031,461.945220332684,10869.3616970883
196,6724,6,6724,0.1543618,0.0002411903,131.87075888796,1086.86448019911
197,33620,5,33620,0.77180898,0.001205952,329.787446622041,5433.76451915335
198,47068,6,47068,1.080533,0.001688333,528.06375837963,7610.10413829782
199,53792,5,53792,1.234894,0.001929522,461.427827620029,8695.19527684942
200,6724,3,6724,0.1543618,0.0002411903,131.876319967977,1086.95615760455
201,6724,6,6724,0.1543618,0.0002411903,131.877035631519,1086.9679527663
202,6724,5,6724,0.1543618,0.0002411903,131.882682097129,1087.06103875654
203,389992,5,389992,8.9529848,0.01398904,1648.8028447865,63041.0301768855
204,490852,3,490852,11.26841,0.01760689,1912.25512935845,79341.6210721848
205,32651700,2,32651700,749.58099,1.1712199,107303.449406629,5269287.25183621
206,147928,6,147928,3.3959601,0.005306188,790.9329973749,23908.832232351
207,94136,5,94136,2.1610651,0.0033766639,593.346244511758,15218.9664462779
208,6724,5,6724,0.1543618,0.0002411903,131.877704663323,1086.97898210355
209,127756,5,127756,2.932874,0.004582616,791.750705210903,20651.2359966379
210,6724,6,6724,0.1543618,0.0002411903,131.877818720588,1086.98085779477
211,6724,5,6724,0.1543618,0.0002411903,131.866582709885,1086.79564739245
212,6724,3,6724,0.1543618,0.0002411903,131.877992959369,1086.98373650904
213,73964,6,73964,1.69798,0.002653094,461.739486298673,11958.8536652881
214,13448,3,13448,0.3087236,0.00048238059,197.6856529596,2173.8832099974
215,47068,5,47068,1.080533,0.001688333,395.650136138145,7609.50659672539
216,356372,5,356372,8.1811752,0.01278309,1252.18956726618,57608.749381378
217,33620,2,33620,0.77180898,0.001205952,329.569015102923,5434.96484387965
218,13448,6,13448,0.3087236,0.00048238059,197.686674427688,2173.9072812591
219,13448,5,13448,0.3087236,0.00048238059,197.929093504622,2173.63106750208
220,20172,6,20172,0.46308541,0.00072357088,263.76808363303,3261.24966786364
221,6724,5,6724,0.1543618,0.0002411903,131.876202343227,1086.95421908002
222,6724,5,6724,0.1543618,0.0002411903,131.878988398337,1087.00013984616
223,262236,14,262236,6.0201101,0.0094064223,1055.86494933026,42398.5217640128
224,6724,5,6724,0.1543618,0.0002411903,131.880860004826,1087.03099210358
225,6724,5,6724,0.1543618,0.0002411903,131.876264132974,1086.95524063684
226,6724,6,6724,0.1543618,0.0002411903,131.879075560387,1087.0015796528
227,127756,6,127756,2.932874,0.004582616,857.114762643754,20654.3881974241
228,47068,14,47068,1.080533,0.001688333,395.62803344107,7608.65656032037
229,87412,3,87412,2.0067029,0.003135473,527.735179062207,14129.0849719262
230,1297732,14,1297732,29.79183,0.04654973,5274.78338088252,209782.094958146
231,1176700,6,1176700,27.013321,0.04220831,3958.0139685679,190237.495991951
232,94136,5,94136,2.1610651,0.0033766639,659.124087716156,15217.2662309375
233,5412820,5,5412820,124.2612,0.19415811,12002.6326298679,874903.492766244
234,208444,4,208444,4.7852159,0.0074768998,923.383564614818,33695.2530210249
235,60516,6,60516,1.389256,0.002170712,593.330887325593,9783.10255722425
236,1465832,5,1465832,33.650871,0.052579481,4745.72727830094,236978.475279326
237,2.5773399e+09,3,2.5773399e+09,59167.602,92.449501,3206320.98668932,415863911.701881
238,450508,6,450508,10.34224,0.016159751,1780.61901507027,72818.4003166941
239,20172,3,20172,0.46308541,0.00072357088,263.499520479326,3260.91108740093
240,87412,3,87412,2.0067029,0.003135473,725.209071297491,14131.0759198194
241,22585900,5,22585900,518.50098,0.81015801,45093.2411990199,3650045.1968102
242,107584,6,107584,2.469789,0.003859045,659.187560001025,17394.5118885646
243,67240,5,67240,1.543618,0.0024119031,461.675886105225,10868.6843035615
244,282408,2,282408,6.4831958,0.01012999,1713.90563814551,45653.3296924281
245,47068,6,47068,1.080533,0.001688333,461.702242718617,7608.94303019505
246,134480,6,134480,3.0872359,0.0048238062,791.669283841601,21733.7167378129
247,6724,6,6724,0.1543618,0.0002411903,131.872596168352,1086.89476964989
248,40344,6,40344,0.92617083,0.001447142,329.781680480305,6520.29129014363
249,20172,3,20172,0.46308541,0.00072357088,263.759326555855,3261.03304590791
250,67240,6,67240,1.543618,0.0024119031,527.269768864015,10870.3536129476
251,6724,5,6724,0.1543618,0.0002411903,131.879987557513,1087.01661618432
252,416888,6,416888,9.5704317,0.0149538,2176.56564873467,67372.9747882583
253,26896,6,26896,0.6174472,0.00096476119,329.576000244101,4348.15563779083
254,67240,6,67240,1.543618,0.0024119031,659.398877346563,10870.1395607017
255,6724,6,6724,0.1543618,0.0002411903,131.872554225157,1086.89407870392
256,141204,6,141204,3.2415979,0.0050649969,791.681852568269,22821.1295473716
257,13448,3,13448,0.3087236,0.00048238059,197.949424474175,2174.07817725527
258,13448,5,13448,0.3087236,0.00048238059,197.683095904189,2173.82421753197
259,6724,6,6724,0.1543618,0.0002411903,131.882007696915,1087.04992088692
260,67240,6,67240,1.543618,0.0024119031,594.066418350811,10869.0211826082
261,13448,6,13448,0.3087236,0.00048238059,197.950280855419,2174.09518741359
262,73964,5,73964,1.69798,0.002653094,527.722817904633,11954.8395521126
263,53792,6,53792,1.234894,0.001929522,528.061678423859,8697.19735876371
264,67240,6,67240,1.543618,0.0024119031,527.802231959853,10871.299004061
265,13448,5,13448,0.3087236,0.00048238059,197.682398429354,2173.80970592287
266,6724,6,6724,0.1543618,0.0002411903,131.872312503959,1086.89009066977
267,33620,3,33620,0.77180898,0.001205952,395.604475833385,5434.11474810934
268,26896,14,26896,0.6174472,0.00096476119,329.578381444403,4348.22034264842
269,13448,6,13448,0.3087236,0.00048238059,197.69934894134,2174.18273932753
270,558092,5,558092,12.81203,0.020018799,2835.09166898595,90193.057723563
271,60516,5,60516,1.389256,0.002170712,461.688374189396,9782.33827395718
272,100860,6,100860,2.3154271,0.003617855,791.319105371715,16306.8426253482
273,6724,6,6724,0.1543618,0.0002411903,131.873843998318,1086.91534212462
274,13448,5,13448,0.3087236,0.00048238059,197.938210480913,2173.83110593601
275,228616,5,228616,5.248301,0.0082004704,988.120335639574,36952.0241515519
276,13448,6,13448,0.3087236,0.00048238059,197.941135017832,2173.89353526954
277,463956,5,463956,10.65096,0.016642131,1648.40957882059,75007.6828187752
